period,portfolio_return,cumulative_net_return,drawdown
2022-01-20,-0.01367823,20.23878752,-1.63812291
2022-01-21,-0.06265246,20.17613506,-1.70077538
2022-01-24,-0.0116191,20.16451596,-1.71239448
2022-01-25,-0.03645468,20.12806128,-1.74884916
2022-01-26,-0.02551825,20.10254303,-1.77436741
2022-01-27,0.00886562,20.11140864,-1.76550179
2022-01-28,-0.02677796,20.08463068,-1.79227975
2022-01-31,-0.03007519,20.05455549,-1.82235494
2022-02-01,-0.00079258,20.05376292,-1.82314752
2022-02-02,-0.05576226,19.99800065,-1.87890978
2022-02-03,-0.05146684,19.94653381,-1.93037663
2022-02-04,-0.0816562,19.86487761,-2.01203282
2022-02-07,-0.01709143,19.84778618,-2.02912425
2022-02-08,-0.04182092,19.80596526,-2.07094518
2022-02-09,-0.11327149,19.69269377,-2.18421666
2022-02-10,-0.08872849,19.60396528,-2.27294516
2022-02-11,-0.11123471,19.49273057,-2.38417987
2022-02-14,-0.02498671,19.46774386,-2.40916658
2022-02-15,-0.06894498,19.39879888,-2.47811156
2022-02-16,-0.00165818,19.3971407,-2.47976974
2022-02-17,-0.05942045,19.33772024,-2.53919019
2022-02-18,-0.0895113,19.24820894,-2.6287015
2022-02-22,-0.03177438,19.21643456,-2.66047588
2022-02-23,0.00701165,19.22344622,-2.65346422
2022-02-24,-0.03772119,19.18572502,-2.69118542
2022-02-25,-0.05284216,19.13288286,-2.74402758
2022-02-28,-0.01356504,19.11931782,-2.75759262
2022-03-01,-0.00515175,19.11416607,-2.76274437
2022-03-02,0.03735096,19.15151703,-2.72539341
2022-03-03,0.00279632,19.15431335,-2.72259709
2022-03-04,-0.04591287,19.10840048,-2.76850996
2022-03-07,-0.07082408,19.03757639,-2.83933405
2022-03-08,0.02584646,19.06342285,-2.81348759
2022-03-09,0.00052047,19.06394332,-2.81296712
2022-03-10,-0.02975895,19.03418437,-2.84272607
2022-03-11,-0.00659008,19.02759429,-2.84931615
2022-03-14,0.06459295,19.09218724,-2.7847232
2022-03-15,0.02426655,19.11645379,-2.76045665
2022-03-16,0.00316233,19.11961612,-2.75729431
2022-03-17,0.03635821,19.15597433,-2.7209361
2022-03-18,-0.01025671,19.14571763,-2.73119281
2022-03-21,-0.10139816,19.04431947,-2.83259097
2022-03-22,-0.13770644,18.90661303,-2.9702974
2022-03-23,-0.13513444,18.7714786,-3.10543184
2022-03-24,-0.17155813,18.59992046,-3.27698998
2022-03-25,-0.16229176,18.4376287,-3.43928174
2022-03-28,-0.22251982,18.21510888,-3.66180156
2022-03-29,-0.24244223,17.97266666,-3.90424378
2022-03-30,-0.12778741,17.84487924,-4.03203119
2022-03-31,-0.02388789,17.82099136,-4.05591908
2022-04-01,0.01330401,17.83429537,-4.04261507
2022-04-04,0.02193443,17.85622979,-4.02068064
2022-04-05,-0.00630866,17.84992113,-4.02698931
