left_component_id,right_component_id,left_strategy,right_strategy,correlation
FACTORY-44336afe577baf16,FACTORY-119d99f730b677f6,Factory Dollar-Bar Microstructure 90d 100bps,Factory Dollar-Bar Microstructure 180d 100bps,0.80475781
FACTORY-e608af4f07ff28c5,FACTORY-8c126ce3235c7b20,Factory Momentum 45d 375bps,Factory PDUFA Run-Up 45d 500bps,0.80440731
FACTORY-e608af4f07ff28c5,FACTORY-84018bc09d7b34aa,Factory Momentum 45d 375bps,Factory PDUFA Run-Up 45d 375bps,0.80437652
FACTORY-e18fa0f3988ad341,FACTORY-8c126ce3235c7b20,Factory Momentum 45d 500bps,Factory PDUFA Run-Up 45d 500bps,0.80434918
FACTORY-efba882cb8ce39ad,FACTORY-e608af4f07ff28c5,Factory Momentum 20d 100bps,Factory Momentum 45d 375bps,0.80428083
FACTORY-84018bc09d7b34aa,FACTORY-e18fa0f3988ad341,Factory PDUFA Run-Up 45d 375bps,Factory Momentum 45d 500bps,0.80424455
FACTORY-37370ef762fec428,FACTORY-e608af4f07ff28c5,Factory PDUFA Run-Up 45d 100bps,Factory Momentum 45d 375bps,0.80417201
FACTORY-17d25540b5e54179,FACTORY-115ab24aa842c356,Factory Mean Reversion 20d 500bps,Factory Mean Reversion 20d 375bps,0.80408222
FACTORY-37370ef762fec428,FACTORY-e18fa0f3988ad341,Factory PDUFA Run-Up 45d 100bps,Factory Momentum 45d 500bps,0.80387909
FACTORY-30088dc93bd4a178,FACTORY-f3a11def315430dd,Factory Form 4 Cluster Buying 45d 100bps,Factory Form 4 Cluster Buying 90d 375bps,0.80387775
FACTORY-663f068161cceb04,FACTORY-fab94445f0b51fdf,Factory Mean Reversion 90d 375bps,Factory Mean Reversion 180d 100bps,0.80386151
FACTORY-efba882cb8ce39ad,FACTORY-e18fa0f3988ad341,Factory Momentum 20d 100bps,Factory Momentum 45d 500bps,0.80348388
FACTORY-dc41e4a737562d2c,FACTORY-06b51d2083257b36,Factory Mean Reversion 90d 500bps,Factory Mean Reversion 180d 500bps,0.80315288
FACTORY-efba882cb8ce39ad,FACTORY-3649fae5bc1b7b74,Factory Momentum 20d 100bps,Factory Momentum 45d 100bps,0.80216265
FACTORY-8c83bf25f1c86fc7,FACTORY-5fcd77f2c0517c34,Factory PEAD 45d 500bps,Factory PEAD 90d 500bps,0.80163436
FACTORY-3b82ee277a85c752,FACTORY-0574d7be5b9a847c,Factory 13D Activist Follow-On 90d 100bps,Factory 13D Activist Follow-On 180d 375bps,0.8013934
FACTORY-b0100b2bcad2ded2,FACTORY-115ab24aa842c356,Factory Mean Reversion 20d 375bps,Factory Mean Reversion 20d 375bps,0.80136693
FACTORY-dc41e4a737562d2c,FACTORY-e021ad4521158745,Factory Mean Reversion 90d 500bps,Factory Mean Reversion 180d 375bps,0.80127431
FACTORY-3649fae5bc1b7b74,FACTORY-37370ef762fec428,Factory Momentum 45d 100bps,Factory PDUFA Run-Up 45d 100bps,0.80096426
FACTORY-25beb93c5b115751,FACTORY-778a7498ad44efbb,Factory 13D Activist Follow-On 90d 375bps,Factory 13D Activist Follow-On 180d 100bps,0.80089927
