component_id,strategy_name,template,decision,sleeve,weight
FACTORY-e62a48e2d142923e,Factory Momentum 180d 100bps,Momentum,INVESTMENT_RESEARCH_CANDIDATE_ONLY,tactical,0.0020202
FACTORY-fab94445f0b51fdf,Factory Mean Reversion 180d 100bps,Mean Reversion,INVESTMENT_RESEARCH_CANDIDATE_ONLY,core,0.00652174
FACTORY-6a8afca3951761f9,Factory Catalyst 180d 100bps,Catalyst,INVESTMENT_RESEARCH_CANDIDATE_ONLY,convex,0.00186916
FACTORY-0391e93ebbeb1f98,Factory PEAD 180d 100bps,PEAD,INVESTMENT_RESEARCH_CANDIDATE_ONLY,core,0.00652174
FACTORY-5e3bba4315fd435f,Factory Form 4 Cluster Buying 180d 100bps,Form 4 Cluster Buying,INVESTMENT_RESEARCH_CANDIDATE_ONLY,convex,0.00186916
FACTORY-7a19d9d29f26229e,Factory LowVol Tradability 180d 100bps,LowVol Tradability,INVESTMENT_RESEARCH_CANDIDATE_ONLY,core,0.00652174
FACTORY-119d99f730b677f6,Factory Dollar-Bar Microstructure 180d 100bps,Dollar-Bar Microstructure,INVESTMENT_RESEARCH_CANDIDATE_ONLY,tactical,0.0020202
FACTORY-a26c47e6385e2c63,Factory Regime Filter 180d 100bps,Regime Filter,INVESTMENT_RESEARCH_CANDIDATE_ONLY,core,0.00652174
FACTORY-b156c56670aac97e,Factory PDUFA Run-Up 180d 100bps,PDUFA Run-Up,INVESTMENT_RESEARCH_CANDIDATE_ONLY,convex,0.00186916
FACTORY-778a7498ad44efbb,Factory 13D Activist Follow-On 180d 100bps,13D Activist Follow-On,INVESTMENT_RESEARCH_CANDIDATE_ONLY,convex,0.00186916
FACTORY-4c337763d226e0e4,Factory Custom Rule Builder 180d 100bps,Custom Rule Builder,INVESTMENT_RESEARCH_CANDIDATE_ONLY,tactical,0.0020202
FACTORY-048d754979815760,Factory 9:30 AM ORB 180d 100bps,9:30 AM ORB,INVESTMENT_RESEARCH_CANDIDATE_ONLY,tactical,0.0020202
FACTORY-3f1e95ca9e8549c1,Factory Momentum 180d 375bps,Momentum,INVESTMENT_RESEARCH_CANDIDATE_ONLY,tactical,0.0020202
FACTORY-e021ad4521158745,Factory Mean Reversion 180d 375bps,Mean Reversion,INVESTMENT_RESEARCH_CANDIDATE_ONLY,core,0.00652174
FACTORY-3f31720278715f4a,Factory Catalyst 180d 375bps,Catalyst,INVESTMENT_RESEARCH_CANDIDATE_ONLY,convex,0.00186916
FACTORY-9504b7bcf75908ef,Factory PEAD 180d 375bps,PEAD,INVESTMENT_RESEARCH_CANDIDATE_ONLY,core,0.00652174
FACTORY-06a5bea953601da8,Factory Form 4 Cluster Buying 180d 375bps,Form 4 Cluster Buying,INVESTMENT_RESEARCH_CANDIDATE_ONLY,convex,0.00186916
FACTORY-f93ccb2221606b8b,Factory LowVol Tradability 180d 375bps,LowVol Tradability,INVESTMENT_RESEARCH_CANDIDATE_ONLY,core,0.00652174
FACTORY-6965d33db9c8fb5b,Factory Dollar-Bar Microstructure 180d 375bps,Dollar-Bar Microstructure,INVESTMENT_RESEARCH_CANDIDATE_ONLY,tactical,0.0020202
FACTORY-f084a7400225c73b,Factory Regime Filter 180d 375bps,Regime Filter,INVESTMENT_RESEARCH_CANDIDATE_ONLY,core,0.00652174
FACTORY-fce8300bed43d2aa,Factory PDUFA Run-Up 180d 375bps,PDUFA Run-Up,INVESTMENT_RESEARCH_CANDIDATE_ONLY,convex,0.00186916
FACTORY-0574d7be5b9a847c,Factory 13D Activist Follow-On 180d 375bps,13D Activist Follow-On,INVESTMENT_RESEARCH_CANDIDATE_ONLY,convex,0.00186916
FACTORY-0ea2260f8186ba11,Factory Custom Rule Builder 180d 375bps,Custom Rule Builder,INVESTMENT_RESEARCH_CANDIDATE_ONLY,tactical,0.0020202
FACTORY-c3d425ca8fa3db00,Factory 9:30 AM ORB 180d 375bps,9:30 AM ORB,INVESTMENT_RESEARCH_CANDIDATE_ONLY,tactical,0.0020202
FACTORY-2886d4ef6f931734,Factory Momentum 180d 500bps,Momentum,INVESTMENT_RESEARCH_CANDIDATE_ONLY,tactical,0.0020202
FACTORY-06b51d2083257b36,Factory Mean Reversion 180d 500bps,Mean Reversion,INVESTMENT_RESEARCH_CANDIDATE_ONLY,core,0.00652174
FACTORY-1a986d424d0dcdde,Factory Catalyst 180d 500bps,Catalyst,INVESTMENT_RESEARCH_CANDIDATE_ONLY,convex,0.00186916
FACTORY-99796a89a76bfa4c,Factory PEAD 180d 500bps,PEAD,INVESTMENT_RESEARCH_CANDIDATE_ONLY,core,0.00652174
FACTORY-dbcb37c9ddbb6896,Factory Form 4 Cluster Buying 180d 500bps,Form 4 Cluster Buying,REJECTED_OUTLIER_DEPENDENCY,convex,0.00186916
FACTORY-a1c67102f5531e27,Factory LowVol Tradability 180d 500bps,LowVol Tradability,REJECTED_OUTLIER_DEPENDENCY,core,0.00652174
FACTORY-80a6a5b9f8587535,Factory Dollar-Bar Microstructure 180d 500bps,Dollar-Bar Microstructure,INVESTMENT_RESEARCH_CANDIDATE_ONLY,tactical,0.0020202
FACTORY-cc3e48f7613e805e,Factory Regime Filter 180d 500bps,Regime Filter,INVESTMENT_RESEARCH_CANDIDATE_ONLY,core,0.00652174
FACTORY-1cb350f28a1d4597,Factory PDUFA Run-Up 180d 500bps,PDUFA Run-Up,INVESTMENT_RESEARCH_CANDIDATE_ONLY,convex,0.00186916
FACTORY-9883de58e44f5ae7,Factory 13D Activist Follow-On 180d 500bps,13D Activist Follow-On,INVESTMENT_RESEARCH_CANDIDATE_ONLY,convex,0.00186916
FACTORY-a3adc8024085df55,Factory Custom Rule Builder 180d 500bps,Custom Rule Builder,INVESTMENT_RESEARCH_CANDIDATE_ONLY,tactical,0.0020202
FACTORY-553b10663e17fb26,Factory 9:30 AM ORB 180d 500bps,9:30 AM ORB,INVESTMENT_RESEARCH_CANDIDATE_ONLY,tactical,0.0020202
FACTORY-32cddb18e173d6a5,Factory Momentum 5d 100bps,Momentum,REJECTED_OUTLIER_DEPENDENCY,tactical,0.0020202
FACTORY-5d7bb4d4fecbd758,Factory Mean Reversion 5d 100bps,Mean Reversion,REJECTED_OUTLIER_DEPENDENCY,core,0.00652174
FACTORY-673b8aef9706882d,Factory Catalyst 5d 100bps,Catalyst,REJECTED_OUTLIER_DEPENDENCY,convex,0.00186916
FACTORY-b2571eb4e48ee3fb,Factory PEAD 5d 100bps,PEAD,REJECTED_OUTLIER_DEPENDENCY,core,0.00652174
FACTORY-45e90ef62971498a,Factory Form 4 Cluster Buying 5d 100bps,Form 4 Cluster Buying,REJECTED_OUTLIER_DEPENDENCY,convex,0.00186916
