ticker,market,locale,primary_exchange,type,active,cik,raw_payload_retained
ASTL,stocks,us,XNAS,CS,True,0001860805,False
ASTS,stocks,us,XNAS,CS,True,0001780312,False
ASUR,stocks,us,XNAS,CS,True,0000884144,False
ASYS,stocks,us,XNAS,CS,True,0000720500,False
ATAI,stocks,us,XNAS,CS,True,0002081043,False
ATCH,stocks,us,XASE,CS,True,0001963088,False
ATCX,stocks,us,XNAS,CS,True,0001684688,False
ATEC,stocks,us,XNAS,CS,True,0001350653,False
ATEN,stocks,us,XNYS,CS,True,0001580808,False
ATER,stocks,us,XNAS,CS,True,0001757715,False
ATEX,stocks,us,XNAS,CS,True,0001304492,False
ATGL,stocks,us,XNAS,CS,True,0001967621,False
ATHR,stocks,us,XNAS,CS,True,0002026353,False
ATI,stocks,us,XNYS,CS,True,0001018963,False
ATII,stocks,us,XNAS,CS,True,0002028516,False
ATKR,stocks,us,XNYS,CS,True,0001666138,False
ATLC,stocks,us,XNAS,CS,True,0001464343,False
ATLCL,stocks,us,XNAS,CS,True,0001464343,False
ATLCZ,stocks,us,XNAS,CS,True,0001464343,False
ATLN,stocks,us,XNAS,CS,True,0001605888,False
ATLO,stocks,us,XNAS,CS,True,0001132651,False
ATLX,stocks,us,XNAS,CS,True,0001540684,False
ATMU,stocks,us,XNYS,CS,True,0001921963,False
ATNI,stocks,us,XNAS,CS,True,0000879585,False
ATNM,stocks,us,XASE,CS,True,0001388320,False
ATO,stocks,us,XNYS,CS,True,0000731802,False
ATOM,stocks,us,XNAS,CS,True,0001420520,False
ATOS,stocks,us,XNAS,CS,True,0001488039,False
ATPC,stocks,us,XNAS,CS,True,0001713210,False
ATR,stocks,us,XNYS,CS,True,0000896622,False
ATRA,stocks,us,XNAS,CS,True,0001604464,False
ATRC,stocks,us,XNAS,CS,True,0001323885,False
ATRO,stocks,us,XNAS,CS,True,0000008063,False
ATS,stocks,us,XNYS,CS,True,0001394832,False
ATXG,stocks,us,XNAS,CS,True,0001650101,False
ATYR,stocks,us,XNAS,CS,True,0001339970,False
AU,stocks,us,XNYS,CS,True,0001973832,False
AUB,stocks,us,XNYS,CS,True,0000883948,False
AUBN,stocks,us,XNAS,CS,True,0000750574,False
AUC,stocks,us,XNAS,CS,True,0001755058,False
AUDC,stocks,us,XNAS,CS,True,0001086434,False
AUGO,stocks,us,XNAS,CS,True,0001468642,False
AUID,stocks,us,XNAS,CS,True,0001534154,False
AUNA,stocks,us,XNYS,CS,True,0001799207,False
AUPH,stocks,us,XNAS,CS,True,0001600620,False
AUR,stocks,us,XNAS,CS,True,0001828108,False
AURA,stocks,us,XNAS,CS,True,0001501796,False
AURE,stocks,us,XNAS,CS,True,0001765850,False
AUST,stocks,us,XASE,CS,True,0001817740,False
AUUD,stocks,us,XNAS,CS,True,0001554818,False
AVA,stocks,us,XNYS,CS,True,0000104918,False
AVAH,stocks,us,XNAS,CS,True,0001832332,False
AVAV,stocks,us,XNAS,CS,True,0001368622,False
AVB,stocks,us,XNYS,CS,True,0000915912,False
AVBC,stocks,us,XNYS,CS,True,0002058758,False
AVBH,stocks,us,XNAS,CS,True,0001443575,False
AVBP,stocks,us,XNAS,CS,True,0001868279,False
AVD,stocks,us,XNYS,CS,True,0000005981,False
AVEX,stocks,us,XNYS,CS,True,0002096300,False
AVGO,stocks,us,XNAS,CS,True,0001730168,False
AVIR,stocks,us,XNAS,CS,True,0001593899,False
AVLN,stocks,us,XNAS,CS,True,0001540171,False
AVNS,stocks,us,XNYS,CS,True,0001606498,False
AVNT,stocks,us,XNYS,CS,True,0001122976,False
AVNW,stocks,us,XNAS,CS,True,0001377789,False
AVO,stocks,us,XNAS,CS,True,0001802974,False
AVPT,stocks,us,XNAS,CS,True,0001777921,False
AVR,stocks,us,XNAS,CS,True,0002011514,False
AVT,stocks,us,XNAS,CS,True,0000008858,False
AVTR,stocks,us,XNYS,CS,True,0001722482,False
AVTX,stocks,us,XNAS,CS,True,0001534120,False
AVX,stocks,us,XNAS,CS,True,0001826397,False
AVXL,stocks,us,XNAS,CS,True,0001314052,False
AVY,stocks,us,XNYS,CS,True,0000008818,False
AWI,stocks,us,XNYS,CS,True,0000007431,False
AWK,stocks,us,XNYS,CS,True,0001410636,False
AWR,stocks,us,XNYS,CS,True,0001056903,False
AWRE,stocks,us,XNAS,CS,True,0001015739,False
AWX,stocks,us,XASE,CS,True,0001061069,False
