period,portfolio_return,cumulative_net_return,drawdown
2025-05-16,-0.1018566,12.5465536,-3.3461734
2025-05-30,0.055506,12.6020596,-3.2906674
2025-06-02,0.1064248,12.7084844,-3.1842426
2025-06-03,0.061855,12.7703394,-3.1223876
2025-06-04,0.0638938,12.8342332,-3.0584938
2025-06-05,0.125198,12.9594312,-2.9332958
2025-06-06,-0.0173488,12.9420824,-2.9506446
2025-06-09,0.1461764,13.0882588,-2.8044682
2025-06-10,0.1577882,13.246047,-2.64668
2025-06-11,0.0997226,13.3457696,-2.5469574
2025-06-12,0.0614794,13.407249,-2.485478
2025-06-13,0.1108328,13.5180818,-2.3746452
2025-06-16,-0.00373,13.5143518,-2.3783752
2025-06-17,-0.0161356,13.4982162,-2.3945108
2025-06-18,-0.0473348,13.4508814,-2.4418456
2025-06-20,-0.0322144,13.418667,-2.47406
2025-06-23,0.0609816,13.4796486,-2.4130784
2025-06-24,-0.000405,13.4792436,-2.4134834
2025-06-25,-0.0286046,13.450639,-2.442088
2025-06-26,-0.02402,13.426619,-2.466108
2025-07-01,-0.0135874,13.4130316,-2.4796954
2025-07-02,-0.0554106,13.357621,-2.535106
2025-07-03,-0.0513428,13.3062782,-2.5864488
2025-07-07,-0.0590678,13.2472104,-2.6455166
2025-07-08,-0.0830828,13.1641276,-2.7285994
2025-07-09,-0.1416692,13.0224584,-2.8702686
2025-07-10,-0.068659,12.9537994,-2.9389276
2025-07-11,-0.0619148,12.8918846,-3.0008424
2025-07-14,-0.0088304,12.8830542,-3.0096728
2025-07-15,-0.0288888,12.8541654,-3.0385616
2025-07-17,0.0181554,12.8723208,-3.0204062
2025-07-24,-0.0007264,12.8715944,-3.0211326
2025-07-25,-0.0444462,12.8271482,-3.0655788
2025-07-28,-0.0303136,12.7968346,-3.0958924
2025-07-29,-0.0240576,12.772777,-3.11995
2025-07-30,0.0166212,12.7893982,-3.1033288
2025-07-31,0.0212154,12.8106136,-3.0821134
2025-08-01,0.011579,12.8221926,-3.0705344
2025-08-04,0.0326188,12.8548114,-3.0379156
2025-08-06,0.0936596,12.948471,-2.944256
2025-08-07,0.0750644,13.0235354,-2.8691916
2025-08-20,-0.1427114,12.880824,-3.011903
2025-08-21,-0.2229684,12.6578556,-3.2348714
2025-08-22,-0.144323,12.5135326,-3.3791944
2025-08-25,-0.1242208,12.3893118,-3.5034152
2025-08-26,-0.0993574,12.2899544,-3.6027726
2025-08-27,-0.0066004,12.283354,-3.609373
2025-08-28,0.0101458,12.2934998,-3.5992272
2025-08-29,-0.0731248,12.220375,-3.672352
2025-09-02,-0.0505798,12.1697952,-3.7229318
2025-09-03,-0.0284112,12.141384,-3.751343
2025-09-04,-0.0961904,12.0451936,-3.8475334
2025-09-05,0.0433744,12.088568,-3.804159
2025-09-08,0.0736864,12.1622544,-3.7304726
2025-09-09,0.060913,12.2231674,-3.6695596
2025-09-10,0.0823358,12.3055032,-3.5872238
2025-09-12,0.04857,12.3540732,-3.5386538
2025-09-16,0.0997588,12.453832,-3.438895
2025-09-19,0.0884286,12.5422606,-3.3504664
2025-09-24,-0.0391532,12.5031074,-3.3896196
2025-09-25,-0.0389556,12.4641518,-3.4285752
2025-09-29,-0.0168914,12.4472604,-3.4454666
2025-09-30,0.0020414,12.4493018,-3.4434252
2025-10-01,0.0464824,12.4957842,-3.3969428
2025-10-02,-0.0062962,12.489488,-3.403239
2025-10-03,-0.0405432,12.4489448,-3.4437822
2025-10-06,-0.0363742,12.4125706,-3.4801564
2025-10-07,-0.0104572,12.4021134,-3.4906136
2025-10-08,-0.006658,12.3954554,-3.4972716
2025-10-09,-0.0031838,12.3922716,-3.5004554
2025-10-10,0.010986,12.4032576,-3.4894694
2025-10-14,-0.0185614,12.3846962,-3.5080308
2025-10-15,-0.0284864,12.3562098,-3.5365172
2025-10-16,-0.0279212,12.3282886,-3.5644384
2025-10-17,-0.0434318,12.2848568,-3.6078702
2025-10-20,-0.0194824,12.2653744,-3.6273526
2025-10-21,-0.0492362,12.2161382,-3.6765888
2025-10-22,-0.067811,12.1483272,-3.7443998
