symbol,sleeve,signal_date,entry_date,exit_date,entry_price,exit_price,score,gross_return,cost_return,net_return,sleeve_weight,weighted_net_return,forced_end_of_history_exit,component_id,component_template,component_weight
SMLR-202601,Momentum,2024-11-21,2024-11-22,2024-12-23,64.86000061035156,61.65999984741211,1.4016630756196848,-0.04933704490944357,0.01,-0.059337044909443575,0.25,-0.014834261227360894,False,acc065823d9dcfb7,Momentum,0.25
KULR,Momentum,2024-12-20,2024-12-23,2025-01-24,23.84000015258789,19.68000030517578,6.074340714732596,-0.1744966367779377,0.01,-0.1844966367779377,0.25,-0.046124159194484426,False,acc065823d9dcfb7,Momentum,0.25
ITCI-202504,Momentum,2025-01-23,2025-01-24,2025-02-24,127.19999694824219,128.57000732421875,0.5227082605363818,0.010770522082119482,0.01,0.0007705220821194823,0.25,0.00019263052052987057,False,acc065823d9dcfb7,Momentum,0.25
APPS,Momentum,2025-02-21,2025-02-24,2025-03-24,4.269999980926514,3.6500000953674316,0.8800000084771051,-0.14519903707928195,0.01,-0.15519903707928195,0.25,-0.03879975926982049,False,acc065823d9dcfb7,Momentum,0.25
RDUS-202507,Momentum,2025-03-21,2025-03-24,2025-04-22,28.72378921508789,28.8799991607666,1.2057705539991592,0.005438347444655989,0.01,-0.0045616525553440115,0.25,-0.0011404131388360029,False,acc065823d9dcfb7,Momentum,0.25
THRD-202507,Momentum,2025-04-21,2025-04-22,2025-05-20,5.159999847412109,5.199999809265137,0.47142859867640907,0.007751930820906638,0.01,-0.0022480691790933618,0.25,-0.0005620172947733404,False,acc065823d9dcfb7,Momentum,0.25
FL-202509,Momentum,2025-05-19,2025-05-20,2025-06-18,23.799999237060547,23.989999771118164,1.0812227354295012,0.007983215972618751,0.01,-0.002016784027381249,0.25,-0.0005041960068453122,False,acc065823d9dcfb7,Momentum,0.25
VERV-202507,Momentum,2025-06-17,2025-06-18,2025-07-18,11.180000305175781,10.90999984741211,1.6041190875191527,-0.02415030862196621,0.01,-0.03415030862196621,0.25,-0.008537577155491553,False,acc065823d9dcfb7,Momentum,0.25
CDTX-202601,Momentum,2025-07-17,2025-07-18,2025-08-15,56.470001220703125,65.21499633789062,1.5407240070891226,0.15486089832031724,0.01,0.14486089832031723,0.25,0.03621522458007931,False,acc065823d9dcfb7,Momentum,0.25
YMAB-202509,Momentum,2025-08-14,2025-08-15,2025-09-15,8.510000228881836,8.609999656677246,0.9699073821122273,0.01175081376097098,0.01,0.0017508137609709793,0.25,0.0004377034402427448,False,acc065823d9dcfb7,Momentum,0.25
TRML-202510,Momentum,2025-09-12,2025-09-15,2025-10-13,47.619998931884766,47.90999984741211,1.1263957975971666,0.006089897564721891,0.01,-0.003910102435278109,0.25,-0.0009775256088195273,False,acc065823d9dcfb7,Momentum,0.25
NTLA,Momentum,2025-10-10,2025-10-13,2025-11-10,24.8799991607666,9.729999542236328,1.1471103584896807,-0.608922834789335,0.01,-0.618922834789335,0.25,-0.15473070869733374,False,acc065823d9dcfb7,Momentum,0.25
TERN-202605,Momentum,2025-11-07,2025-11-10,2025-12-09,18.719999313354492,42.56999969482422,1.2662576905353613,1.2740385286475724,0.01,1.2640385286475724,0.25,0.3160096321618931,False,acc065823d9dcfb7,Momentum,0.25
OLMA,Momentum,2025-12-08,2025-12-09,2026-01-08,27.3700008392334,25.56999969482422,2.3508979956850524,-0.06576547640542918,0.01,-0.07576547640542917,0.25,-0.018941369101357294,False,acc065823d9dcfb7,Momentum,0.25
ISSC,Momentum,2026-01-07,2026-01-08,2026-02-06,18.770000457763672,19.59000015258789,0.7536091156208451,0.04368671682610681,0.01,0.033686716826106806,0.25,0.008421679206526702,False,acc065823d9dcfb7,Momentum,0.25
FSLY,Momentum,2026-03-06,2026-03-09,2026-04-07,19.65250015258789,31.600000381469727,1.530150664966187,0.6079379283102846,0.01,0.5979379283102846,0.25,0.14948448207757115,False,acc065823d9dcfb7,Momentum,0.25
FSLY,Momentum,2026-04-06,2026-04-07,2026-05-05,31.6299991607666,32.36000061035156,0.5660378287666823,0.023079401484475737,0.01,0.013079401484475736,0.25,0.003269850371118934,False,acc065823d9dcfb7,Momentum,0.25
FCEL,Momentum,2026-05-04,2026-05-05,2026-06-01,13.199999809265137,21.309999465942383,0.9520240343082544,0.6143939222623929,0.01,0.6043939222623929,0.25,0.15109848056559821,True,acc065823d9dcfb7,Momentum,0.25
