symbol,sleeve,signal_date,entry_date,exit_date,entry_price,exit_price,score,gross_return,cost_return,net_return,per_trade_weight,weighted_net_return,forced_end_of_history_exit,provider_query_performed,family,regime_label,selection_policy,split
ABSI,mean_reversion_5d,2025-03-07,2025-03-10,2025-03-24,3.06,3.1,-0.18961038961038956,0.013071895424836555,0.05,-0.03692810457516345,0.2,-0.00738562091503269,False,False,mean_reversion_5d,DRAWDOWN_STRESS,predeclared_family_map,is
DENN-202601,mean_reversion_5d,2025-03-07,2025-03-10,2025-03-24,4.14,3.98,-0.16297786720321927,-0.03864734299516903,0.05,-0.08864734299516903,0.2,-0.017729468599033807,False,False,mean_reversion_5d,DRAWDOWN_STRESS,predeclared_family_map,is
CFLT-202603,mean_reversion_5d,2025-03-07,2025-03-10,2025-03-24,25.4,27.3,-0.16162570888468808,0.0748031496062993,0.05,0.0248031496062993,0.2,0.00496062992125986,False,False,mean_reversion_5d,DRAWDOWN_STRESS,predeclared_family_map,is
BSCP-202512,volatility_compression_20d,2025-03-07,2025-03-10,2025-04-07,20.017553,20.075125,0.0003642719984678595,0.0028760758120636165,0.05,-0.047123924187936386,0.2,-0.009424784837587278,False,False,volatility_compression_20d,DRAWDOWN_STRESS,predeclared_family_map,is
CMRX-202504,dollar_volume_shock_20d,2025-03-07,2025-03-10,2025-03-24,8.42,8.5,11.622053082465651,0.009501187648456089,0.05,-0.040498812351543914,0.2,-0.008099762470308783,False,False,dollar_volume_shock_20d,DRAWDOWN_STRESS,predeclared_family_map,is
ACON,dollar_volume_shock_20d,2025-03-07,2025-03-10,2025-03-24,35.640003,20.789999,4.267525201400025,-0.41666674382715396,0.05,-0.46666674382715395,0.2,-0.0933333487654308,False,False,dollar_volume_shock_20d,DRAWDOWN_STRESS,predeclared_family_map,is
BRDG-202508,dollar_volume_shock_20d,2025-03-07,2025-03-10,2025-03-24,8.970831,10.353011,3.665148248449955,0.15407491234647042,0.05,0.10407491234647041,0.2,0.020814982469294085,False,False,dollar_volume_shock_20d,DRAWDOWN_STRESS,predeclared_family_map,is
ACWV,dollar_volume_shock_20d,2025-03-07,2025-03-10,2025-03-24,112.72305,113.14417,3.0730339137931235,0.0037358818804140714,0.05,-0.04626411811958593,0.2,-0.009252823623917187,False,False,dollar_volume_shock_20d,DRAWDOWN_STRESS,predeclared_family_map,is
CMRX-202504,momentum_60d,2025-04-04,2025-04-07,2025-04-17,8.5,8.54,1.3306010928961745,0.004705882352941115,0.05,-0.04529411764705889,0.2,-0.009058823529411777,True,False,momentum_60d,DRAWDOWN_STRESS,predeclared_family_map,is
ACCD-202504,momentum_60d,2025-04-04,2025-04-07,2025-04-07,7.03,7.02,1.0985074626865674,-0.0014224751066856944,0.05,-0.0514224751066857,0.2,-0.01028449502133714,True,False,momentum_60d,DRAWDOWN_STRESS,predeclared_family_map,is
AAOI,mean_reversion_5d,2025-04-04,2025-04-07,2025-04-22,10.09,10.95,-0.34065934065934056,0.0852329038652131,0.05,0.03523290386521309,0.2,0.007046580773042619,False,False,mean_reversion_5d,DRAWDOWN_STRESS,predeclared_family_map,is
ACDC,mean_reversion_5d,2025-04-04,2025-04-07,2025-04-22,5.14,4.77,-0.3307392996108949,-0.07198443579766545,0.05,-0.12198443579766545,0.2,-0.02439688715953309,False,False,mean_reversion_5d,DRAWDOWN_STRESS,predeclared_family_map,is
CIVI-202601,mean_reversion_5d,2025-04-04,2025-04-07,2025-04-22,22.805435,27.884956,-0.3066818540150841,0.2227329143250283,0.05,0.1727329143250283,0.2,0.034546582865005664,False,False,mean_reversion_5d,DRAWDOWN_STRESS,predeclared_family_map,is
