fold,period,target_exit_config,feature_set,model_type,probability_variant,train_end,validation_start,validation_end,test_start,test_end,threshold,selected_for_test,strategy_return,buy_and_hold_return,excess_return,max_drawdown,sharpe,profit_factor,win_rate,beats_buy_and_hold,total_signals,executable_signals,symbols_with_signals,closed_trades
wf_2024,validation,default_1_5x_stop_3x_tp_10d,baseline,random_forest,isotonic,2022-12-31,2023-01-01,2023-12-31,2024-01-01,2024-12-31,0.35,False,0.0,1.0141568816060988,-1.0141568816060988,0.0,,,,False,0,0,0,0
wf_2024,validation,default_1_5x_stop_3x_tp_10d,baseline,random_forest,isotonic,2022-12-31,2023-01-01,2023-12-31,2024-01-01,2024-12-31,0.4,False,0.0,1.0141568816060988,-1.0141568816060988,0.0,,,,False,0,0,0,0
wf_2024,validation,default_1_5x_stop_3x_tp_10d,baseline,random_forest,isotonic,2022-12-31,2023-01-01,2023-12-31,2024-01-01,2024-12-31,0.45,False,0.0,1.0141568816060988,-1.0141568816060988,0.0,,,,False,0,0,0,0
wf_2024,validation,fast_1x_stop_2x_tp_5d,baseline,random_forest,raw,2022-12-31,2023-01-01,2023-12-31,2024-01-01,2024-12-31,0.45,False,0.04231113766592167,1.0141568816060988,-0.9718457439401773,-0.04856923892403834,0.6274369604266747,1.5197492595178272,0.49822386313258527,False,860,776,10,240
wf_2024,validation,fast_1x_stop_2x_tp_5d,baseline,random_forest,raw,2022-12-31,2023-01-01,2023-12-31,2024-01-01,2024-12-31,0.5,False,0.03479405001581879,1.0141568816060988,-0.9793628315902805,-0.0356192870778565,0.6578434928867972,2.2291502271659906,0.5064214489214489,False,524,467,10,176
wf_2024,validation,fast_1x_stop_2x_tp_5d,baseline,random_forest,raw,2022-12-31,2023-01-01,2023-12-31,2024-01-01,2024-12-31,0.55,False,0.01856038555830055,1.0141568816060988,-0.9955964960477987,-0.02705722443243299,0.5074375725904352,1.5269149440027363,0.6036111111111111,False,191,172,10,73
wf_2024,validation,fast_1x_stop_2x_tp_5d,baseline,random_forest,raw,2022-12-31,2023-01-01,2023-12-31,2024-01-01,2024-12-31,0.6,False,0.001489478450532333,1.0141568816060988,-1.0126674031555667,-0.012798691383034012,-0.005611250378020286,0.6075811285918946,0.4376417233560091,False,60,54,9,22
wf_2024,validation,fast_1x_stop_2x_tp_5d,baseline,random_forest,raw,2022-12-31,2023-01-01,2023-12-31,2024-01-01,2024-12-31,0.65,False,-0.00750827513455828,1.0141568816060988,-1.0216651567406574,-0.007953322880146408,-1.450658507200075,0.0,0.0,False,11,9,5,6
wf_2024,validation,fast_1x_stop_2x_tp_5d,baseline,random_forest,raw,2022-12-31,2023-01-01,2023-12-31,2024-01-01,2024-12-31,0.7,False,0.0,1.0141568816060988,-1.0141568816060988,0.0,,,,False,0,0,0,0
wf_2024,validation,fast_1x_stop_2x_tp_5d,baseline,random_forest,isotonic,2022-12-31,2023-01-01,2023-12-31,2024-01-01,2024-12-31,0.15,False,0.06735817599095917,1.0141568816060988,-0.9467987056151401,-0.052459797140276744,0.8793180958866051,1.6333414052556776,0.534474147778955,False,1145,1040,10,291
wf_2024,validation,fast_1x_stop_2x_tp_5d,baseline,random_forest,isotonic,2022-12-31,2023-01-01,2023-12-31,2024-01-01,2024-12-31,0.2,False,0.060043673080111194,1.0141568816060988,-0.954113208525988,-0.04698348826486508,0.8391102486260495,1.7109224612946548,0.5342696962577023,False,1026,929,10,268
wf_2024,validation,fast_1x_stop_2x_tp_5d,baseline,random_forest,isotonic,2022-12-31,2023-01-01,2023-12-31,2024-01-01,2024-12-31,0.25,False,0.04455505729689762,1.0141568816060988,-0.9696018243092015,-0.034414174963136014,0.7949673794923656,2.2996060483246787,0.5368711843711844,False,574,509,10,182
