fold,period,target_exit_config,model_objective_config,feature_set,model_config,model_type,probability_variant,signal_quality_config,signal_rank_column,market_exposure_config,symbol_selection_config,selected_symbols,selected_symbol_count,train_end,validation_start,validation_end,test_start,test_end,threshold,selected_for_test,strategy_return,buy_and_hold_return,excess_return,max_drawdown,sharpe,profit_factor,win_rate,beats_buy_and_hold,total_signals_before_rank,rank_filtered_signals,total_signals,executable_signals,avg_risk_fraction_on_signals,strong_market_signals,symbols_with_signals,closed_trades
wf_2024,validation,default_1_5x_stop_3x_tp_10d,tp_before_sl,baseline,random_forest_default,random_forest,raw,no_quality_rank_filter,,default_1pct,all_symbols,"AAPL,AMD,AMZN,GOOGL,META,MSFT,NVDA,QQQ,SPY,TSLA",10,2022-12-31,2023-01-01,2023-12-31,2024-01-01,2024-12-31,0.45,False,0.06537111599817447,1.014156881606099,-0.9487857656079246,-0.03072408619991529,1.252658993790125,2.41715231498284,0.6057771519098749,False,811,0,811,783,0.009999999999999998,519,10,160
wf_2024,validation,default_1_5x_stop_3x_tp_10d,tp_before_sl,baseline,random_forest_default,random_forest,raw,no_quality_rank_filter,,default_1pct,all_symbols,"AAPL,AMD,AMZN,GOOGL,META,MSFT,NVDA,QQQ,SPY,TSLA",10,2022-12-31,2023-01-01,2023-12-31,2024-01-01,2024-12-31,0.5,False,0.03275056944473411,1.014156881606099,-0.9814063121613652,-0.030024929985140846,0.6611926654989368,2.6270544450107396,0.5149428104575163,False,518,0,518,499,0.01,329,10,106
wf_2024,validation,default_1_5x_stop_3x_tp_10d,tp_before_sl,baseline,random_forest_default,random_forest,raw,no_quality_rank_filter,,default_1pct,all_symbols,"AAPL,AMD,AMZN,GOOGL,META,MSFT,NVDA,QQQ,SPY,TSLA",10,2022-12-31,2023-01-01,2023-12-31,2024-01-01,2024-12-31,0.55,False,0.024110027658246692,1.014156881606099,-0.9900468539478524,-0.018003404702717107,0.7643373271981945,3.5590674648280616,0.6579520697167757,False,191,0,191,184,0.009999999999999998,132,9,51
wf_2024,validation,default_1_5x_stop_3x_tp_10d,tp_before_sl,baseline,random_forest_default,random_forest,raw,no_quality_rank_filter,,default_1pct,all_symbols,"AAPL,AMD,AMZN,GOOGL,META,MSFT,NVDA,QQQ,SPY,TSLA",10,2022-12-31,2023-01-01,2023-12-31,2024-01-01,2024-12-31,0.6,False,-0.0015114328404888075,1.014156881606099,-1.0156683144465881,-0.015936089474115556,-0.21031470151571555,0.6280671796117582,0.45,False,50,0,50,48,0.01,39,8,23
wf_2024,validation,default_1_5x_stop_3x_tp_10d,tp_before_sl,baseline,random_forest_default,random_forest,raw,no_quality_rank_filter,,default_1pct,all_symbols,"AAPL,AMD,AMZN,GOOGL,META,MSFT,NVDA,QQQ,SPY,TSLA",10,2022-12-31,2023-01-01,2023-12-31,2024-01-01,2024-12-31,0.65,False,0.0011298037536848714,1.014156881606099,-1.0130270778524142,-0.0036848524826770925,0.35668064025989177,1.8581789384692564,0.8,False,23,0,23,23,0.010000000000000004,17,2,6
wf_2024,validation,default_1_5x_stop_3x_tp_10d,tp_before_sl,baseline,random_forest_default,random_forest,raw,no_quality_rank_filter,,default_1pct,all_symbols,"AAPL,AMD,AMZN,GOOGL,META,MSFT,NVDA,QQQ,SPY,TSLA",10,2022-12-31,2023-01-01,2023-12-31,2024-01-01,2024-12-31,0.7,False,9.210770018004393e-05,1.014156881606099,-1.014064773905919,-0.0017401410037605203,0.060889549629970535,0.0,0.5,False,4,0,4,4,0.01,3,2,2
wf_2024,validation,default_1_5x_stop_3x_tp_10d,tp_before_sl,baseline,random_forest_default,random_forest,isotonic,no_quality_rank_filter,,default_1pct,all_symbols,"AAPL,AMD,AMZN,GOOGL,META,MSFT,NVDA,QQQ,SPY,TSLA",10,2022-12-31,2023-01-01,2023-12-31,2024-01-01,2024-12-31,0.15,False,0.0772309447237062,1.014156881606099,-0.9369259368823931,-0.032310400404643155,1.2985447394205634,2.331649364354944,0.6124720454983613,False,1145,0,1145,1108,0.01,748,10,190
wf_2024,validation,default_1_5x_stop_3x_tp_10d,tp_before_sl,baseline,random_forest_default,random_forest,isotonic,no_quality_rank_filter,,default_1pct,all_symbols,"AAPL,AMD,AMZN,GOOGL,META,MSFT,NVDA,QQQ,SPY,TSLA",10,2022-12-31,2023-01-01,2023-12-31,2024-01-01,2024-12-31,0.2,False,0.0772309447237062,1.014156881606099,-0.9369259368823931,-0.032310400404643155,1.2985447394205634,2.331649364354944,0.6124720454983613,False,1145,0,1145,1108,0.01,748,10,190
wf_2024,validation,default_1_5x_stop_3x_tp_10d,tp_before_sl,baseline,random_forest_default,random_forest,isotonic,no_quality_rank_filter,,default_1pct,all_symbols,"AAPL,AMD,AMZN,GOOGL,META,MSFT,NVDA,QQQ,SPY,TSLA",10,2022-12-31,2023-01-01,2023-12-31,2024-01-01,2024-12-31,0.25,False,0.07930450732098424,1.014156881606099,-0.9348523742851149,-0.0303554643361705,1.3631230221137085,2.625419386899133,0.6186691662310857,False,1077,0,1077,1042,0.01,699,10,183
wf_2024,validation,default_1_5x_stop_3x_tp_10d,tp_before_sl,baseline,random_forest_default,random_forest,isotonic,no_quality_rank_filter,,default_1pct,all_symbols,"AAPL,AMD,AMZN,GOOGL,META,MSFT,NVDA,QQQ,SPY,TSLA",10,2022-12-31,2023-01-01,2023-12-31,2024-01-01,2024-12-31,0.3,False,0.027483153403634684,1.014156881606099,-0.9866737282024645,-0.015777980741033825,0.9231012901309792,3.8838598106442355,0.6749999999999999,False,140,0,140,133,0.01,94,9,40
wf_2024,validation,default_1_5x_stop_3x_tp_10d,tp_before_sl,baseline,random_forest_default,random_forest,isotonic,no_quality_rank_filter,,default_1pct,all_symbols,"AAPL,AMD,AMZN,GOOGL,META,MSFT,NVDA,QQQ,SPY,TSLA",10,2022-12-31,2023-01-01,2023-12-31,2024-01-01,2024-12-31,0.35,False,0.0,1.014156881606099,-1.014156881606099,0.0,,,,False,0,0,0,0,,0,0,0
wf_2024,validation,default_1_5x_stop_3x_tp_10d,tp_before_sl,baseline,random_forest_default,random_forest,isotonic,no_quality_rank_filter,,default_1pct,all_symbols,"AAPL,AMD,AMZN,GOOGL,META,MSFT,NVDA,QQQ,SPY,TSLA",10,2022-12-31,2023-01-01,2023-12-31,2024-01-01,2024-12-31,0.4,False,0.0,1.014156881606099,-1.014156881606099,0.0,,,,False,0,0,0,0,,0,0,0
wf_2024,validation,default_1_5x_stop_3x_tp_10d,tp_before_sl,baseline,random_forest_default,random_forest,isotonic,no_quality_rank_filter,,default_1pct,all_symbols,"AAPL,AMD,AMZN,GOOGL,META,MSFT,NVDA,QQQ,SPY,TSLA",10,2022-12-31,2023-01-01,2023-12-31,2024-01-01,2024-12-31,0.45,False,0.0,1.014156881606099,-1.014156881606099,0.0,,,,False,0,0,0,0,,0,0,0
