fold,period,feature_set,model_type,probability_variant,train_end,validation_start,validation_end,test_start,test_end,threshold,selected_for_test,strategy_return,buy_and_hold_return,excess_return,max_drawdown,sharpe,profit_factor,win_rate,beats_buy_and_hold,total_signals,executable_signals,symbols_with_signals,closed_trades
wf_2024,validation,baseline,random_forest,raw,2022-12-31,2023-01-01,2023-12-31,2024-01-01,2024-12-31,0.45,False,0.07614359908418096,1.0141568816060988,-0.938013282521918,-0.03438022800424097,1.2715089190845568,2.5501020172156528,0.5467803030303031,False,811,783,10,111
wf_2024,validation,baseline,random_forest,raw,2022-12-31,2023-01-01,2023-12-31,2024-01-01,2024-12-31,0.5,False,0.0578429633925985,1.0141568816060988,-0.9563139182135008,-0.028249928760727315,0.9843674513789802,3.15541554840759,0.5591774891774892,False,518,499,10,70
wf_2024,validation,baseline,random_forest,raw,2022-12-31,2023-01-01,2023-12-31,2024-01-01,2024-12-31,0.55,False,0.039925961498211315,1.0141568816060988,-0.9742309201078877,-0.01986350411300535,1.0131737015723827,2.666997768265597,0.6219576719576719,False,191,184,9,40
wf_2024,validation,baseline,random_forest,raw,2022-12-31,2023-01-01,2023-12-31,2024-01-01,2024-12-31,0.6,False,0.005517237812754655,1.0141568816060988,-1.0086396437933447,-0.01728045890585942,-0.00979167861659731,0.9537847797965814,0.4375,False,50,48,8,20
wf_2024,validation,baseline,random_forest,raw,2022-12-31,2023-01-01,2023-12-31,2024-01-01,2024-12-31,0.65,False,0.002758155204894472,1.0141568816060988,-1.0113987264012045,-0.004367021482810452,0.21555854145985084,2.067076459660051,0.3,False,23,23,2,6
wf_2024,validation,baseline,random_forest,raw,2022-12-31,2023-01-01,2023-12-31,2024-01-01,2024-12-31,0.7,False,0.0009108055269020553,1.0141568816060988,-1.013246076079197,-0.002856099457442718,0.10530827446173407,0.0,0.5,False,4,4,2,2
wf_2024,validation,baseline,random_forest,isotonic,2022-12-31,2023-01-01,2023-12-31,2024-01-01,2024-12-31,0.15,False,0.08917184458792449,1.0141568816060988,-0.9249850370181749,-0.031571305363491856,1.33097730600162,3.3711557674786676,0.5672548366666014,False,1145,1108,10,124
wf_2024,validation,baseline,random_forest,isotonic,2022-12-31,2023-01-01,2023-12-31,2024-01-01,2024-12-31,0.2,False,0.08917184458792449,1.0141568816060988,-0.9249850370181749,-0.031571305363491856,1.33097730600162,3.3711557674786676,0.5672548366666014,False,1145,1108,10,124
wf_2024,validation,baseline,random_forest,isotonic,2022-12-31,2023-01-01,2023-12-31,2024-01-01,2024-12-31,0.25,False,0.09106203571155552,1.0141568816060988,-0.9230948458945438,-0.03147621154186926,1.3765530114381623,3.3777010595030452,0.5737660950160951,False,1077,1042,10,122
wf_2024,validation,baseline,random_forest,isotonic,2022-12-31,2023-01-01,2023-12-31,2024-01-01,2024-12-31,0.3,False,0.04037421844410692,1.0141568816060988,-0.9737826631619922,-0.018188808538045265,1.0873406720079233,3.1295764239865407,0.6738095238095237,False,140,133,9,33
