fold,period,target_exit_config,feature_set,model_type,probability_variant,train_end,validation_start,validation_end,test_start,test_end,threshold,selected_for_test,strategy_return,buy_and_hold_return,excess_return,max_drawdown,sharpe,profit_factor,win_rate,beats_buy_and_hold,total_signals,executable_signals,symbols_with_signals,closed_trades
wf_2024,validation,default_1_5x_stop_3x_tp_10d,baseline,logistic_regression,raw,2022-12-31,2023-01-01,2023-12-31,2024-01-01,2024-12-31,0.7,False,0.0,1.0141568816060988,-1.0141568816060988,0.0,,,,False,0,0,0,0
wf_2024,validation,default_1_5x_stop_3x_tp_10d,baseline,logistic_regression,isotonic,2022-12-31,2023-01-01,2023-12-31,2024-01-01,2024-12-31,0.15,False,0.07309165829973802,1.0141568816060988,-0.9410652233063612,-0.033526779478890836,1.2310655297915671,2.2175974506176437,0.6009335839598997,False,1112,1078,10,185
wf_2024,validation,default_1_5x_stop_3x_tp_10d,baseline,logistic_regression,isotonic,2022-12-31,2023-01-01,2023-12-31,2024-01-01,2024-12-31,0.2,False,0.07412324946869477,1.0141568816060988,-0.9400336321374043,-0.03259448750620807,1.2630816983886324,2.2591534952262924,0.6080764411027568,False,1107,1073,10,184
wf_2024,validation,default_1_5x_stop_3x_tp_10d,baseline,logistic_regression,isotonic,2022-12-31,2023-01-01,2023-12-31,2024-01-01,2024-12-31,0.25,False,0.07180328538908257,1.0141568816060988,-0.9423535962170165,-0.030610678415550863,1.1827555606398135,2.353042338419339,0.5806394663128409,False,1086,1052,10,178
wf_2024,validation,default_1_5x_stop_3x_tp_10d,baseline,logistic_regression,isotonic,2022-12-31,2023-01-01,2023-12-31,2024-01-01,2024-12-31,0.3,False,0.0,1.0141568816060988,-1.0141568816060988,0.0,,,,False,0,0,0,0
wf_2024,validation,default_1_5x_stop_3x_tp_10d,baseline,logistic_regression,isotonic,2022-12-31,2023-01-01,2023-12-31,2024-01-01,2024-12-31,0.35,False,0.0,1.0141568816060988,-1.0141568816060988,0.0,,,,False,0,0,0,0
wf_2024,validation,default_1_5x_stop_3x_tp_10d,baseline,logistic_regression,isotonic,2022-12-31,2023-01-01,2023-12-31,2024-01-01,2024-12-31,0.4,False,0.0,1.0141568816060988,-1.0141568816060988,0.0,,,,False,0,0,0,0
wf_2024,validation,default_1_5x_stop_3x_tp_10d,baseline,logistic_regression,isotonic,2022-12-31,2023-01-01,2023-12-31,2024-01-01,2024-12-31,0.45,False,0.0,1.0141568816060988,-1.0141568816060988,0.0,,,,False,0,0,0,0
wf_2024,validation,default_1_5x_stop_3x_tp_10d,baseline,random_forest,raw,2022-12-31,2023-01-01,2023-12-31,2024-01-01,2024-12-31,0.45,False,0.06537111599817447,1.0141568816060988,-0.9487857656079248,-0.03072408619991529,1.2526589937901247,2.41715231498284,0.6057771519098749,False,811,783,10,160
wf_2024,validation,default_1_5x_stop_3x_tp_10d,baseline,random_forest,raw,2022-12-31,2023-01-01,2023-12-31,2024-01-01,2024-12-31,0.5,False,0.032750569444734104,1.0141568816060988,-0.9814063121613648,-0.030024929985140846,0.6611926654989368,2.6270544450107396,0.5149428104575163,False,518,499,10,106
wf_2024,validation,default_1_5x_stop_3x_tp_10d,baseline,random_forest,raw,2022-12-31,2023-01-01,2023-12-31,2024-01-01,2024-12-31,0.55,False,0.02411002765824669,1.0141568816060988,-0.9900468539478524,-0.018003404702717107,0.7643373271981945,3.559067464828061,0.6579520697167756,False,191,184,9,51
wf_2024,validation,default_1_5x_stop_3x_tp_10d,baseline,random_forest,raw,2022-12-31,2023-01-01,2023-12-31,2024-01-01,2024-12-31,0.6,False,-0.0015114328404888073,1.0141568816060988,-1.015668314446588,-0.015936089474115556,-0.21031470151571552,0.6280671796117582,0.45,False,50,48,8,23
wf_2024,validation,default_1_5x_stop_3x_tp_10d,baseline,random_forest,raw,2022-12-31,2023-01-01,2023-12-31,2024-01-01,2024-12-31,0.65,False,0.0011298037536848714,1.0141568816060988,-1.0130270778524142,-0.0036848524826770925,0.35668064025989177,1.8581789384692564,0.8,False,23,23,2,6
wf_2024,validation,default_1_5x_stop_3x_tp_10d,baseline,random_forest,raw,2022-12-31,2023-01-01,2023-12-31,2024-01-01,2024-12-31,0.7,False,9.210770018004393e-05,1.0141568816060988,-1.014064773905919,-0.0017401410037605203,0.060889549629970535,0.0,0.5,False,4,4,2,2
