symbol,event_date,is_sec8k_event,pre_window_start,pre_window_end,pre_window_days,baseline_lookback_days,pre_window_return,pre_window_abs_return,pre_window_volume_ratio,provider_query_performed,market_data_downloaded,source
ARRY,2023-06-16,False,2023-06-09,2023-06-15,5,20,-0.0147058824,0.0147058824,0.86872771,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
ARRY,2023-06-20,False,2023-06-12,2023-06-16,5,20,-0.0470483799,0.0470483799,1.04297274,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
ARRY,2023-06-21,False,2023-06-13,2023-06-20,5,20,-0.0557522124,0.0557522124,0.95805036,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
ARRY,2023-06-22,False,2023-06-14,2023-06-21,5,20,-0.0346083789,0.0346083789,0.97977185,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
ARRY,2023-06-23,False,2023-06-15,2023-06-22,5,20,-0.0633197648,0.0633197648,0.99587065,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
ARRY,2023-06-26,False,2023-06-16,2023-06-23,5,20,-0.0298090359,0.0298090359,0.97977185,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
ARRY,2023-06-27,False,2023-06-20,2023-06-26,5,20,-0.0253045923,0.0253045923,0.96007188,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
ARRY,2023-06-28,False,2023-06-21,2023-06-27,5,20,-0.0330188679,0.0330188679,0.94486855,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
ARRY,2023-06-29,False,2023-06-22,2023-06-28,5,20,0.011105746,0.011105746,0.96596608,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
ARRY,2023-06-30,False,2023-06-23,2023-06-29,5,20,0.0336053769,0.0336053769,1.00363679,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
