status,symbol,cik,accessionNumber,filingDate,acceptanceDateTime,classification,reaction_session_date,items,event_source,raw_payload_retained,error
event,CRMD,0001410098,0001213900-23-039770,2023-05-15,2023-05-15T20:10:20.000Z,AMC,2023-05-16,"2.02,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,CRMD,0001410098,0001213900-23-024301,2023-03-30,2023-03-30T12:00:35.000Z,BMO,2023-03-30,"2.02,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,CRMD,0001410098,0001213900-22-070820,2022-11-10,2022-11-10T12:43:47.000Z,BMO,2022-11-10,"2.02,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,CRMD,0001410098,0001213900-22-046610,2022-08-11,2022-08-11T12:00:32.000Z,BMO,2022-08-11,"2.02,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,CRMD,0001410098,0001213900-22-025946,2022-05-12,2022-05-12T20:14:04.000Z,AMC,2022-05-13,"2.02,8.01,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,CRMD,0001410098,0001213900-22-015837,2022-03-29,2022-03-29T20:09:54.000Z,AMC,2022-03-30,"2.02,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,CRMD,0001410098,0001213900-21-057729,2021-11-09,2021-11-09T21:14:33.000Z,AMC,2021-11-10,"2.02,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,CRMD,0001410098,0001213900-21-042053,2021-08-12,2021-08-12T20:23:15.000Z,AMC,2021-08-13,"2.02,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,CRMD,0001410098,0001213900-21-026169,2021-05-14,2021-05-13T21:56:04.000Z,AMC,2021-05-14,"2.02,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,CRMD,0001410098,0001213900-21-018717,2021-03-30,2021-03-30T20:51:51.000Z,AMC,2021-03-31,"2.02,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,CRMD,0001410098,0001213900-20-035323,2020-11-05,2020-11-05T21:48:49.000Z,AMC,2020-11-06,"2.02,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,CRMD,0001410098,0001213900-20-021200,2020-08-10,2020-08-10T21:17:38.000Z,AMC,2020-08-11,"2.02,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,CRMD,0001410098,0001213900-20-011647,2020-05-11,2020-05-11T20:23:30.000Z,AMC,2020-05-12,"2.02,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,CRMD,0001410098,0001213900-20-006527,2020-03-16,2020-03-16T21:01:19.000Z,AMC,2020-03-17,"2.02,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,CRMD,0001410098,0001213900-19-015524,2019-08-13,2019-08-13T20:08:52.000Z,AMC,2019-08-14,"2.02,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,CRMD,0001410098,0001654954-19-005778,2019-05-13,2019-05-13T20:20:25.000Z,AMC,2019-05-14,"2.02,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,CRMD,0001410098,0001654954-19-002735,2019-03-14,2019-03-14T20:19:24.000Z,AMC,2019-03-15,"2.02,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,CRMD,0001410098,0001654954-18-012732,2018-11-14,2018-11-14T21:20:48.000Z,AMC,2018-11-15,"2.02,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,CRMD,0001410098,0001654954-18-009131,2018-08-14,2018-08-14T20:22:01.000Z,AMC,2018-08-15,"2.02,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,CRMD,0001410098,0001654954-18-005425,2018-05-15,2018-05-15T20:11:34.000Z,AMC,2018-05-16,"2.02,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,CRMD,0001410098,0001654954-18-002772,2018-03-19,2018-03-19T20:15:45.000Z,AMC,2018-03-20,"2.02,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,CRMD,0001410098,0001654954-17-010317,2017-11-09,2017-11-09T21:27:36.000Z,AMC,2017-11-10,"2.02,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,CRMD,0001410098,0001654954-17-007134,2017-08-09,2017-08-09T20:25:31.000Z,AMC,2017-08-10,"2.02,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,CRMD,0001410098,0001654954-17-004344,2017-05-10,2017-05-10T20:15:31.000Z,AMC,2017-05-11,"2.02,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,CRMD,0001410098,0001654954-17-002113,2017-03-17,2017-03-17T12:18:58.000Z,BMO,2017-03-17,"2.02,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,CRMD,0001410098,0001654954-16-003776,2016-11-10,2016-11-10T21:10:42.000Z,AMC,2016-11-11,"2.02,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,CRMD,0001410098,0001654954-16-001207,2016-08-05,2016-08-05T12:36:59.000Z,BMO,2016-08-05,"2.02,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,CRMD,0001410098,0001354488-16-007303,2016-05-11,2016-05-11T12:32:41.000Z,BMO,2016-05-11,"2.02,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,CRMD,0001410098,0001654954-16-000169,2016-03-16,2016-03-16T12:26:36.000Z,BMO,2016-03-16,"2.02,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,CRMD,0001410098,0001354488-15-002206,2015-05-08,2015-05-08T12:45:13.000Z,BMO,2015-05-08,2.02,SEC_EDGAR_8K_ITEM_2_02,False,
event,CRMD,0001410098,0001354488-13-004629,2013-08-15,2013-08-15T11:01:43.000Z,BMO,2013-08-15,"2.02,5.02,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,CRMD,0001410098,0001144204-13-017974,2013-03-27,2013-03-27T21:24:03.000Z,AMC,2013-03-28,"2.02,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,CRMD,0001410098,0001144204-12-015873,2012-03-19,2012-03-19T20:37:48.000Z,AMC,2012-03-20,"2.02,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,IOVA,0001425205,0001104659-26-056782,2026-05-07,2026-05-07T13:18:07.000Z,BMO,2026-05-07,"2.02,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,IOVA,0001425205,0001104659-26-018837,2026-02-24,2026-02-24T13:00:40.000Z,BMO,2026-02-24,"2.02,8.01,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,IOVA,0001425205,0001104659-25-107426,2025-11-06,2025-11-06T13:05:38.000Z,BMO,2025-11-06,"2.02,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,IOVA,0001425205,0001104659-25-075175,2025-08-07,2025-08-07T20:06:34.000Z,AMC,2025-08-08,"2.02,5.02,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,IOVA,0001425205,0001104659-25-046101,2025-05-08,2025-05-08T20:05:33.000Z,AMC,2025-05-09,"2.02,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,IOVA,0001425205,0001104659-25-018212,2025-02-27,2025-02-27T21:05:20.000Z,AMC,2025-02-28,"2.02,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,IOVA,0001425205,0001104659-24-115300,2024-11-07,2024-11-07T21:06:17.000Z,AMC,2024-11-08,"2.02,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,IOVA,0001425205,0001104659-24-087259,2024-08-08,2024-08-08T20:05:37.000Z,AMC,2024-08-09,"2.02,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,IOVA,0001425205,0001104659-24-059322,2024-05-09,2024-05-09T20:06:00.000Z,AMC,2024-05-10,"2.02,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,IOVA,0001425205,0001104659-24-028704,2024-02-28,2024-02-28T21:05:21.000Z,AMC,2024-02-29,"2.02,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,IOVA,0001425205,0001104659-24-025082,2024-02-20,2024-02-20T11:03:55.000Z,BMO,2024-02-20,"2.02,8.01,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,IOVA,0001425205,0001104659-23-115226,2023-11-07,2023-11-07T21:05:42.000Z,AMC,2023-11-08,"2.02,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,IOVA,0001425205,0001104659-23-088821,2023-08-08,2023-08-08T20:05:16.000Z,AMC,2023-08-09,"2.02,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
