symbol,sleeve,signal_date,entry_date,exit_date,entry_price,exit_price,score,gross_return,cost_return,net_return,per_trade_weight,weighted_net_return,forced_end_of_history_exit,provider_query_performed,split,regime_label,universe_status,is_delisted
CMRX-202504,momentum_60d,2025-03-07,2025-03-10,2025-04-07,8.42,8.52,9.132211538461538,0.0118764845605701,0.05,-0.0381235154394298,0.1,-0.0038123515439429,False,False,is,DRAWDOWN_STRESS,delisted,True
ACCD-202504,momentum_60d,2025-03-07,2025-03-10,2025-04-07,6.97,7.02,0.8888888888888888,0.007173601147776,0.05,-0.0428263988522239,0.1,-0.0042826398852223,False,False,is,DRAWDOWN_STRESS,delisted,True
ACMR,momentum_60d,2025-03-07,2025-03-10,2025-04-07,26.39,19.15,0.8186702484889186,-0.2743463433118606,0.05,-0.3243463433118606,0.1,-0.032434634331186,False,False,is,DRAWDOWN_STRESS,active,False
ACON,mean_reversion_5d,2025-03-07,2025-03-10,2025-03-24,35.640003,20.789999,-0.5880597014925373,-0.4166667438271539,0.05,-0.4666667438271539,0.1,-0.0466666743827154,False,False,is,DRAWDOWN_STRESS,active,False
AAOI,mean_reversion_5d,2025-03-07,2025-03-10,2025-03-24,15.07,22.28,-0.2763037511436413,0.4784339747843398,0.05,0.4284339747843398,0.1,0.0428433974784339,False,False,is,DRAWDOWN_STRESS,active,False
ABSI,mean_reversion_5d,2025-03-07,2025-03-10,2025-03-24,3.06,3.1,-0.1896103896103895,0.0130718954248365,0.05,-0.0369281045751634,0.1,-0.0036928104575163,False,False,is,DRAWDOWN_STRESS,active,False
DENN-202601,mean_reversion_5d,2025-03-07,2025-03-10,2025-03-24,4.14,3.98,-0.1629778672032192,-0.038647342995169,0.05,-0.088647342995169,0.1,-0.0088647342995169,False,False,is,DRAWDOWN_STRESS,delisted,True
CFLT-202603,mean_reversion_5d,2025-03-07,2025-03-10,2025-03-24,25.4,27.3,-0.161625708884688,0.0748031496062993,0.05,0.0248031496062993,0.1,0.0024803149606299,False,False,is,DRAWDOWN_STRESS,delisted,True
CMRX-202504,momentum_60d,2025-04-04,2025-04-07,2025-04-17,8.5,8.54,1.3306010928961745,0.0047058823529411,0.05,-0.0452941176470588,0.1,-0.0045294117647058,True,False,is,DRAWDOWN_STRESS,delisted,True
ACCD-202504,momentum_60d,2025-04-04,2025-04-07,2025-04-07,7.03,7.02,1.0985074626865674,-0.0014224751066856,0.05,-0.0514224751066857,0.1,-0.0051422475106685,True,False,is,DRAWDOWN_STRESS,delisted,True
